date,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25
2019-08-01,65189.91000000001,76415.15000000002,895918.6399999999,384214.99000000005,114629.02,19473.799999999996,97383.35999999997,61735.5,19100.33,37689.55000000001,166721.06,16969.54,30586.530000000002,72601.29999999999,108995.67000000001,64826.92999999999,46629.78,248692.47999999998,36922.950000000004,779334.0200000001,404704.47000000003,146300.41999999995,156305.15999999997,177378.57999999996,70859.43000000001
2019-09-01,66733.87000000001,78804.85000000002,927564.6199999999,403741.55000000005,118564.23000000001,20481.899999999994,101384.02999999997,63381.73,19932.350000000002,38498.40000000001,170342.77,17971.75,33080.850000000006,75253.04,112107.52000000002,68242.93,48321.04,257994.99,37898.69,820966.3600000001,425213.77,151533.06999999995,165722.96999999997,185018.86999999997,72125.07
2019-10-01,68598.55,80944.66000000002,957958.7799999999,414814.84,122534.88,21269.399999999994,104599.85999999997,64883.44,20923.780000000002,39346.030000000006,176228.03,18842.28,34174.89000000001,77277.84,115974.59000000003,70663.29,50150.4,268154.29,38883.91,864160.5800000001,448181.4,156450.25999999995,174675.95999999996,192660.63999999996,74083.92000000001
2019-11-01,72413.67,84358.18000000002,987187.7599999999,436002.61000000004,127833.04000000001,22096.649999999994,108596.06999999998,67783.54000000001,22355.72,40106.94000000001,182725.43,19679.05,35842.380000000005,80182.48999999999,120303.98000000003,72668.84,51411.04,285230.62,39915.23,919869.41,474558.83,162343.32999999996,182571.46999999997,200377.08999999997,75694.6
2019-12-01,75768.0,85560.87000000002,1010781.7199999999,452422.24000000005,132301.47,23174.739999999994,110831.93999999997,69248.40000000001,23299.940000000002,41101.37000000001,188148.65,20399.35,37078.880000000005,82623.79999999999,123280.95000000003,74994.54,52446.64,294830.9,41305.020000000004,977695.7100000001,492463.96,167150.02999999997,190199.81999999998,206144.93999999997,76800.0
2020-01-01,78046.51,87434.80000000002,1040421.3899999999,467723.80000000005,136019.22,24172.139999999996,113504.93999999997,70778.26000000001,23883.910000000003,41687.01000000001,192238.58,20964.07,38151.4,84570.18999999999,125451.47000000003,76773.93999999999,53217.6,302203.45,43356.340000000004,1022195.6400000001,510367.49,170969.22999999998,196818.87999999998,213233.20999999996,78209.13
2020-02-01,80927.34,89818.03000000001,1084764.66,493938.82000000007,141502.81,25339.429999999997,116352.16999999997,72229.97000000002,25025.840000000004,42644.81000000001,199857.05,21525.239999999998,39615.76,87409.29,128685.72000000003,78747.12999999999,54417.659999999996,311245.28,44466.73,1072379.6300000001,530501.22,175560.31999999998,204063.96999999997,220281.68999999997,79828.25
2020-03-01,83994.78,92292.14000000001,1133855.0899999999,517777.8500000001,146881.21,26723.789999999997,119040.09999999996,73777.58000000002,25946.840000000004,43745.290000000015,207441.22999999998,21859.17,41042.36,90862.43999999999,131389.47000000003,80515.37,55723.09,321903.30000000005,45438.25,1117956.87,552551.7999999999,180199.22999999998,212311.00999999998,226201.98999999996,81450.27
2020-04-01,86234.53,93614.63000000002,1159298.7899999998,543146.7800000001,151692.31999999998,27871.69,121182.63999999996,75470.05000000002,26555.170000000006,44436.38000000001,212249.81999999998,22109.62,42057.55,93239.47999999998,135739.20000000004,82143.54,56411.34,331747.56000000006,46227.63,1158809.27,576842.95,184043.21,218252.96999999997,232559.05999999997,83201.67
2020-05-01,89713.47,96491.74000000002,1195362.2099999997,571921.5800000002,157995.58,29416.519999999997,123737.57999999996,76752.81000000001,27249.540000000005,45832.27000000001,217588.50999999998,22503.2,43463.26,95742.08999999998,140480.77000000005,83909.75,57306.10999999999,341011.13000000006,47017.009999999995,1213107.34,608634.97,187535.0,225598.86999999997,239720.68999999997,84995.06
